author,editor,format_type,print_date,day_of_week_name,day_of_week_integer,publish_type,puzzle_id,title,version,percent_filled,solved,star,solving_seconds
Joel Fagliano,,Normal,2023-09-02,Saturday,6,Mini,21394,,0,100,True,,114
Joel Fagliano,,Normal,2023-09-03,Sunday,0,Mini,21395,,0,100,True,,54
Joel Fagliano,,Normal,2023-09-04,Monday,1,Mini,21409,,0,100,True,,70
Joel Fagliano,,Normal,2023-09-05,Tuesday,2,Mini,21400,,0,0,False,,22
Joel Fagliano,,Normal,2023-09-06,Wednesday,3,Mini,21403,,0,100,True,,44
Joel Fagliano,,Normal,2023-09-07,Thursday,4,Mini,21401,,0,100,True,,81
Joel Fagliano,,Normal,2023-09-08,Friday,5,Mini,21407,,0,100,True,,37
Joel Fagliano,,Normal,2023-09-09,Saturday,6,Mini,21404,,0,100,True,,55
Joel Fagliano,,Normal,2023-09-10,Sunday,0,Mini,21408,,0,100,True,,46
Joel Fagliano,,Normal,2023-09-11,Monday,1,Mini,21410,,0,100,True,,33
Joel Fagliano,,Normal,2023-09-12,Tuesday,2,Mini,21415,,0,100,True,,183
Joel Fagliano,,Normal,2023-09-13,Wednesday,3,Mini,21416,,0,100,True,,104
Joel Fagliano,,Normal,2023-09-14,Thursday,4,Mini,21417,,0,100,True,,42
Joel Fagliano,,Normal,2023-09-15,Friday,5,Mini,21419,,0,100,True,,41
Joel Fagliano,,Normal,2023-09-16,Saturday,6,Mini,21421,,0,100,True,,148
Joel Fagliano,,Normal,2023-09-17,Sunday,0,Mini,21420,,0,100,True,,35
Joel Fagliano,,Normal,2023-09-18,Monday,1,Mini,21441,,0,100,True,,32
Joel Fagliano,,Normal,2023-09-19,Tuesday,2,Mini,21439,,0,100,True,,18
Joel Fagliano,,Normal,2023-09-20,Wednesday,3,Mini,21438,,0,100,True,,31
Joel Fagliano,,Normal,2023-09-21,Thursday,4,Mini,21442,,0,100,True,,48
Joel Fagliano,,Normal,2023-09-22,Friday,5,Mini,21440,,0,100,True,,94
Joel Fagliano,,Normal,2023-09-23,Saturday,6,Mini,21444,,0,100,True,,144
Joel Fagliano,,Normal,2023-09-24,Sunday,0,Mini,21443,,0,100,True,,87
Joel Fagliano,,Normal,2023-09-25,Monday,1,Mini,21450,,0,100,True,,28
Joel Fagliano,,Normal,2023-09-26,Tuesday,2,Mini,21461,,0,100,True,,33
Joel Fagliano,,Normal,2023-09-27,Wednesday,3,Mini,21458,,0,100,True,,79
Joel Fagliano,,Normal,2023-09-28,Thursday,4,Mini,21460,,0,100,True,,41
Joel Fagliano,,Normal,2023-09-29,Friday,5,Mini,21462,,0,100,True,,200
Joel Fagliano,,Normal,2023-09-30,Saturday,6,Mini,21457,,0,100,True,,54
Joel Fagliano,,Normal,2023-10-01,Sunday,0,Mini,21459,,0,100,True,,34
Joel Fagliano,,Normal,2023-10-02,Monday,1,Mini,21468,,0,100,True,,85
Joel Fagliano,,Normal,2023-10-03,Tuesday,2,Mini,21469,,0,100,True,,37
Joel Fagliano,,Normal,2023-10-04,Wednesday,3,Mini,21470,,0,100,True,,41
Joel Fagliano,,Normal,2023-10-05,Thursday,4,Mini,21471,,0,100,True,,57
Joel Fagliano,,Normal,2023-10-06,Friday,5,Mini,21474,,0,100,True,,166
Joel Fagliano,,Normal,2023-10-07,Saturday,6,Mini,21472,,0,100,True,,108
Joel Fagliano,,Normal,2023-10-08,Sunday,0,Mini,21473,,0,100,True,,53
Joel Fagliano,,Normal,2023-10-09,Monday,1,Mini,21484,,0,100,True,,109
Joel Fagliano,,Normal,2023-10-10,Tuesday,2,Mini,21482,,0,100,True,,115
Joel Fagliano,,Normal,2023-10-11,Wednesday,3,Mini,21486,,0,100,True,,53
Joel Fagliano,,Normal,2023-10-12,Thursday,4,Mini,21487,,0,100,True,,116
Joel Fagliano,,Normal,2023-10-13,Friday,5,Mini,21485,,0,100,True,,35
Joel Fagliano,,Normal,2023-10-14,Saturday,6,Mini,21483,,0,100,True,,135
Joel Fagliano,,Normal,2023-10-15,Sunday,0,Mini,21488,,0,100,True,,29
Joel Fagliano,,Normal,2023-10-16,Monday,1,Mini,21494,,0,100,True,,37
Joel Fagliano,,Normal,2023-10-17,Tuesday,2,Mini,21495,,0,100,True,,39
Joel Fagliano,,Normal,2023-10-18,Wednesday,3,Mini,21496,,0,100,True,,39
Joel Fagliano,,Normal,2023-10-19,Thursday,4,Mini,21497,,0,100,True,,57
Joel Fagliano,,Normal,2023-10-20,Friday,5,Mini,21498,,0,100,True,,54
Joel Fagliano,,Normal,2023-10-21,Saturday,6,Mini,21499,,0,100,True,,268
Joel Fagliano,,Normal,2023-10-22,Sunday,0,Mini,21500,,0,100,True,,42
Joel Fagliano,,Normal,2023-10-23,Monday,1,Mini,21503,,0,100,True,,226
Joel Fagliano,,Normal,2023-10-24,Tuesday,2,Mini,21510,,0,100,True,,43
Joel Fagliano,,Normal,2023-10-25,Wednesday,3,Mini,21511,,0,100,True,,72
Joel Fagliano,,Normal,2023-10-26,Thursday,4,Mini,21514,,0,100,True,,48
Joel Fagliano,,Normal,2023-10-27,Friday,5,Mini,21513,,0,100,True,,77
Joel Fagliano,,Normal,2023-10-28,Saturday,6,Mini,21501,,0,100,True,,84
Joel Fagliano,,Normal,2023-10-29,Sunday,0,Mini,21502,,0,100,True,,44
Joel Fagliano,,Normal,2023-10-30,Monday,1,Mini,21521,,0,100,True,,44
Joel Fagliano,,Normal,2023-10-31,Tuesday,2,Mini,21466,,0,100,True,,33
Joel Fagliano,,Normal,2023-11-01,Wednesday,3,Mini,21519,,0,100,True,,79
Joel Fagliano,,Normal,2023-11-02,Thursday,4,Mini,21516,,0,100,True,,64
Joel Fagliano,,Normal,2023-11-03,Friday,5,Mini,21520,,0,100,True,,84
Joel Fagliano,,Normal,2023-11-04,Saturday,6,Mini,21522,,0,100,True,,83
Joel Fagliano,,Normal,2023-11-05,Sunday,0,Mini,21523,,0,100,True,,38
Joel Fagliano,,Normal,2023-11-06,Monday,1,Mini,21530,,0,100,True,,80
Joel Fagliano,,Normal,2023-11-07,Tuesday,2,Mini,21531,,0,100,True,,56
Joel Fagliano,,Normal,2023-11-08,Wednesday,3,Mini,21532,,0,100,True,,38
Joel Fagliano,,Normal,2023-11-09,Thursday,4,Mini,21533,,0,100,True,,83
Joel Fagliano,,Normal,2023-11-10,Friday,5,Mini,21534,,0,100,True,,42
Joel Fagliano,,Normal,2023-11-11,Saturday,6,Mini,21535,,0,100,True,,21
Joel Fagliano,,Normal,2023-11-12,Sunday,0,Mini,21536,,0,100,True,,146
Joel Fagliano,,Normal,2023-11-13,Monday,1,Mini,21554,,0,100,True,,43
Joel Fagliano,,Normal,2023-11-14,Tuesday,2,Mini,21555,,0,100,True,,30
Joel Fagliano,,Normal,2023-11-15,Wednesday,3,Mini,21553,,0,100,True,,53
Joel Fagliano,,Normal,2023-11-16,Thursday,4,Mini,21556,,0,100,True,,47
Joel Fagliano,,Normal,2023-11-17,Friday,5,Mini,21559,,0,100,True,,61
Joel Fagliano,,Normal,2023-11-18,Saturday,6,Mini,21537,,0,100,True,,107
Joel Fagliano,,Normal,2023-11-19,Sunday,0,Mini,21558,,0,100,True,,92
Joel Fagliano,,Normal,2023-11-20,Monday,1,Mini,21580,,0,100,True,,46
Joel Fagliano,,Normal,2023-11-21,Tuesday,2,Mini,21581,,0,100,True,,64
Joel Fagliano,,Normal,2023-11-22,Wednesday,3,Mini,21586,,0,100,True,,24
